apoptotic process,GO:0006915
peptidyl-proline 3-dioxygenase activity,GO:0031544
peptidyl-proline dioxygenase activity,GO:0031543
selenocysteine insertion sequence binding,GO:0035368
(d)CMP kinase activity,GO:0004127
CMP kinase activity,GO:0036430
dCMP kinase activity,GO:0036431
dTMP kinase activity,GO:0004798
nucleoside diphosphate kinase activity,GO:0004550
UMP kinase activity,GO:0033862
mitogen-activated protein kinase kinase kinase binding,GO:0031435
AP-2 adaptor complex binding,GO:0035612
ubiquitin ligase activator activity,GO:1990757
extracellular matrix structural constituent,GO:0005201
lactoperoxidase activity,GO:0140825
laminin-1 binding,GO:0043237
"oxidoreductase activity, acting on peroxide as acceptor",GO:0016684
transferrin receptor binding,GO:1990459
long-chain fatty acyl-CoA hydrolase activity,GO:0052816
histone H3K4 demethylase activity,GO:0032453
histone H3K4me/H3K4me2/H3K4me3 demethylase activity,GO:0034647
ADP-ribosylglutamate hydrolase activity,GO:0140293
"hydrolase activity, acting on glycosyl bonds",GO:0016798
O-acetyl-ADP-ribose deacetylase activity,GO:0061463
histone H4K20 monomethyltransferase activity,GO:0140944
5'-nucleotidase activity,GO:0008253
GMP 5'-nucleotidase activity,GO:0050484
IMP 5'-nucleotidase activity,GO:0050483
nucleoside phosphotransferase activity,GO:0050146
XMP 5'-nucleosidase activity,GO:0106411
STAT family protein binding,GO:0097677
5-methylcytosine dioxygenase activity,GO:0070579
voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization,GO:1902282
voltage-gated sodium channel activity involved in cardiac muscle cell action potential,GO:0086006
collagen V binding,GO:0070052
trace-amine receptor activity,GO:0001594
guanyl-nucleotide exchange factor adaptor activity,GO:0005091
corticotropin-releasing hormone binding,GO:0051424
transmembrane monodehydroascorbate reductase activity,GO:0140575
corticotrophin-releasing factor receptor activity,GO:0015056
hormone activity,GO:0005179
cardiolipin binding,GO:1901612
piRNA binding,GO:0034584
RNA exonuclease activity,GO:0004532
protein serine/threonine phosphatase inhibitor activity,GO:0004865
histone deacetylase regulator activity,GO:0035033
nuclear retinoid X receptor binding,GO:0046965
aryl hydrocarbon receptor binding,GO:0017162
MAP kinase kinase kinase activity,GO:0004709
poly(A) RNA polymerase activity,GO:1990817
1-alkyl-2-acetylglycerophosphocholine esterase activity,GO:0003847
platelet-activating factor acetyltransferase activity,GO:0047179
protein kinase regulator activity,GO:0019887
tumor necrosis factor receptor binding,GO:0005164
WW domain binding,GO:0050699
oligopeptidase activity,GO:0070012
ATP-activated inward rectifier potassium channel activity,GO:0015272
ATPase-coupled monoatomic cation transmembrane transporter activity,GO:0019829
inward rectifier potassium channel activity,GO:0005242
chloride channel activity,GO:0005254
calcium-dependent phospholipase C activity,GO:0050429
Arp2/3 complex binding,GO:0071933
ABC-type glutathione S-conjugate transporter activity,GO:0015431
nickel cation binding,GO:0016151
dopamine beta-monooxygenase activity,GO:0004500
delta-catenin binding,GO:0070097
gamma-catenin binding,GO:0045295
glycerol-3-phosphate dehydrogenase (quinone) activity,GO:0004368
"beta-galactoside alpha-2,6-sialyltransferase activity",GO:0003835
sialyltransferase activity,GO:0008373
adenine nucleotide transmembrane transporter activity,GO:0000295
ADP:phosphate antiporter activity,GO:0140988
ATP:phosphate antiporter activity,GO:0140987
1-acylglycerophosphocholine O-acyltransferase activity,GO:0047184
1-acylglycerophosphoethanolamine O-acyltransferase activity,GO:0106262
1-acylglycerophosphoserine O-acyltransferase activity,GO:0106263
1-alkenylglycerophosphoethanolamine O-acyltransferase activity,GO:0047166
1-alkylglycerophosphocholine O-acetyltransferase activity,GO:0047192
lysophospholipid acyltransferase activity,GO:0071617
serine-type peptidase activity,GO:0008236
"inositol-1,3,4-trisphosphate 4-phosphatase activity",GO:0017161
"inositol-3,4-bisphosphate 4-phosphatase activity",GO:0052828
phosphatidylinositol bisphosphate phosphatase activity,GO:0034593
phosphatidylinositol trisphosphate phosphatase activity,GO:0034594
"phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity",GO:0016316
dynactin binding,GO:0034452
type I transforming growth factor beta receptor binding,GO:0034713
calcium-activated cation channel activity,GO:0005227
intracellularly calcium-gated chloride channel activity,GO:0005229
phospholipid scramblase activity,GO:0017128
inositol hexakisphosphate 5-kinase activity,GO:0000832
proteasome binding,GO:0070628
1-phosphatidylinositol-3-kinase activity,GO:0016303
nitric-oxide synthase inhibitor activity,GO:0036487
P-type calcium transporter activity,GO:0005388
histone H4K20 methyltransferase activity,GO:0042799
S-adenosyl-L-methionine binding,GO:1904047
ethanolamine transmembrane transporter activity,GO:0034228
antioxidant activity,GO:0016209
histone H3K9me/H3K9me2 demethylase activity,GO:0140683
cysteine-S-conjugate beta-lyase activity,GO:0047804
kynurenine-glyoxylate transaminase activity,GO:0047315
kynurenine-oxoglutarate transaminase activity,GO:0016212
protein antigen binding,GO:1990405
protein phosphatase regulator activity,GO:0019888
exonuclease activity,GO:0004527
enzyme regulator activity,GO:0030234
heparan sulfate proteoglycan binding,GO:0043395
Roundabout binding,GO:0048495
"phosphatidylinositol-3,5-bisphosphate binding",GO:0080025
NF-kappaB binding,GO:0051059
N-acetylglucosamine 6-O-sulfotransferase activity,GO:0001517
sulfotransferase activity,GO:0008146
insulin binding,GO:0043559
3'-5' RNA helicase activity,GO:0034458
"inositol 1,3,4,5 tetrakisphosphate binding",GO:0043533
L27 domain binding,GO:0097016
hyalurononglucosaminidase activity,GO:0004415
acyltransferase activity,GO:0016746
protein-phosphatidylethanolamide deconjugating activity,GO:0019786
glycerophosphocholine cholinephosphodiesterase activity,GO:0047390
glycerophosphodiester phosphodiesterase activity,GO:0008889
phosphoric diester hydrolase activity,GO:0008081
ER retention sequence binding,GO:0046923
BBSome binding,GO:0062063
aminoacyl-tRNA deacylase activity,GO:0002161
glutamine-tRNA ligase activity,GO:0004819
leucine-tRNA ligase activity,GO:0004823
F-actin monooxygenase activity,GO:0120501
NAD(P)H oxidase H2O2-forming activity,GO:0016174
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen",GO:0016709
acetylcholine binding,GO:0042166
heterocyclic compound binding,GO:1901363
acetylcholine receptor binding,GO:0033130
gap junction channel activity involved in cell communication by electrical coupling,GO:1903763
histone methyltransferase activity,GO:0042054
Fc-gamma receptor I complex binding,GO:0034988
RNA polymerase binding,GO:0070063
RNA 7-methylguanosine cap binding,GO:0000340
snRNA binding,GO:0017069
U4 snRNA binding,GO:0030621
GPI anchor binding,GO:0034235
"fructose-2,6-bisphosphate 2-phosphatase activity",GO:0004331
glycerophosphocholine phosphodiesterase activity,GO:0047389
starch binding,GO:2001070
coenzyme A binding,GO:0120225
monoatomic ion channel activity,GO:0005216
splicing factor binding,GO:1990935
5'-3' exonuclease activity,GO:0008409
beta-lactamase activity,GO:0008800
arrestin family protein binding,GO:1990763
CXCR chemokine receptor binding,GO:0045236
ligase activity,GO:0016874
ubiquitin-like protein ligase binding,GO:0044389
"endodeoxyribonuclease activity, producing 5'-phosphomonoesters",GO:0016888
"RNA endonuclease activity, producing 5'-phosphomonoesters",GO:0016891
aldose reductase (NADPH) activity,GO:0004032
L-amino acid transmembrane transporter activity,GO:0015179
L-isoleucine transmembrane transporter activity,GO:0015188
L-leucine transmembrane transporter activity,GO:0015190
L-methionine transmembrane transporter activity,GO:0015191
L-phenylalanine transmembrane transporter activity,GO:0015192
long-chain fatty acyl-CoA dehydrogenase activity,GO:0004466
polyribonucleotide nucleotidyltransferase activity,GO:0004654
interleukin-27 receptor binding,GO:0045523
acetyl-CoA binding,GO:1905502
pantothenate kinase activity,GO:0004594
diphosphoinositol-polyphosphate diphosphatase activity,GO:0008486
"inositol-3,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity",GO:0052848
"inositol-5-diphosphate-1,2,3,4,6-pentakisphosphate diphosphatase activity",GO:0052845
"inositol-5-diphosphate-1,3,4,6-tetrakisphosphate diphosphatase activity",GO:0106211
snoRNA binding,GO:0030515
potassium:proton antiporter activity,GO:0015386
(S)-citramalyl-CoA lyase activity,GO:0047777
malate synthase activity,GO:0004474
DEAD/H-box RNA helicase binding,GO:0017151
NEDD8 activating enzyme activity,GO:0019781
type II interferon binding,GO:0019964
phosphatidylinositol 3-kinase inhibitor activity,GO:0141039
ADP-specific glucokinase activity,GO:0043843
"phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity",GO:0052629
phosphatidylinositol-3-phosphate phosphatase activity,GO:0004438
carboxylic ester hydrolase activity,GO:0052689
glucose-1-phosphatase activity,GO:0008877
glycerol-2-phosphatase activity,GO:0047954
inositol monophosphate 1-phosphatase activity,GO:0008934
inositol monophosphate 3-phosphatase activity,GO:0052832
inositol monophosphate 4-phosphatase activity,GO:0052833
NADH dehydrogenase (ubiquinone) activity,GO:0008137
glycine dehydrogenase (decarboxylating) activity,GO:0004375
pyridoxal binding,GO:0070280
lipase activity,GO:0016298
oxysterol binding,GO:0008142
L-cysteine transaminase activity,GO:0047801
quaternary ammonium group binding,GO:0050997
"beta-D-galactosyl-(1->3)-N-acetyl-beta-D-galactosaminide alpha-2,3- sialyltransferase",GO:0047288
"beta-galactoside (CMP) alpha-2,3-sialyltransferase activity",GO:0003836
"N-acetyllactosaminide alpha-2,3-sialyltransferase activity",GO:0008118
argininosuccinate lyase activity,GO:0004056
leptin receptor binding,GO:1990460
misfolded protein binding,GO:0051787
protein kinase inhibitor activity,GO:0004860
2-acylglycerol O-acyltransferase activity,GO:0003846
2-acylglycerophosphocholine O-acyltransferase activity,GO:0047190
lysophosphatidylethanolamine acyltransferase activity,GO:0071618
MAP kinase tyrosine/serine/threonine phosphatase activity,GO:0017017
propionyl-CoA carboxylase activity,GO:0004658
pyrimidine ribonucleotide binding,GO:0032557
UTP-monosaccharide-1-phosphate uridylyltransferase activity,GO:0051748
UTP:glucose-1-phosphate uridylyltransferase activity,GO:0003983
phosphatidate phosphatase activity,GO:0008195
protein-hormone receptor activity,GO:0016500
biotin binding,GO:0009374
biotin--[biotin carboxyl-carrier protein] ligase activity,GO:0004077
deoxycytidyl transferase activity,GO:0017125
DNA-directed DNA polymerase activity,GO:0003887
RNA cap trimethylguanosine synthase activity,GO:0071164
sweet taste receptor activity,GO:0033041
KDEL sequence binding,GO:0005046
ceramide-1-phosphate phosphatase activity,GO:0106235
lipid phosphatase activity,GO:0042577
ATP:ADP adenylyltransferase activity,GO:0003877
lysine-tRNA ligase activity,GO:0004824
G protein-coupled ADP receptor activity,GO:0001621
Atg12 transferase activity,GO:0019777
Atg8-family conjugating enzyme activity,GO:0141046
Atg8-family ligase activity,GO:0019776
ubiquitin-like protein transferase activity,GO:0019787
proton channel activity,GO:0015252
ribose phosphate diphosphokinase activity,GO:0004749
neuroligin family protein binding,GO:0097109
mediator complex binding,GO:0036033
dimethylargininase activity,GO:0016403
sodium-dependent organic anion transmembrane transporter activity,GO:0043250
carbon-sulfur lyase activity,GO:0016846
succinate dehydrogenase (quinone) activity,GO:0008177
ubiquinone binding,GO:0048039
very-long-chain enoyl-CoA reductase activity,GO:0102758
ubiquitin-like protein ligase activity,GO:0061659
ATP:ATP adenylyltransferase activity,GO:0141192
bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity,GO:0004081
glycine-tRNA ligase activity,GO:0004820
arachidonate-CoA ligase activity,GO:0047676
long-chain fatty acid-CoA ligase activity,GO:0004467
medium-chain fatty acid-CoA ligase activity,GO:0031956
phosphorylase kinase regulator activity,GO:0008607
tRNA uridine(34) acetyltransferase activity,GO:0106261
carboxypeptidase activity,GO:0004180
dipeptidase activity,GO:0016805
protein transmembrane transporter activity,GO:0008320
dihydrolipoyllysine-residue succinyltransferase activity,GO:0004149
histone reader activity,GO:0140566
type II activin receptor binding,GO:0070699
N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity,GO:0004577
bisphosphoglycerate mutase activity,GO:0004082
phosphoglycerate mutase activity,GO:0004619
lipase activator activity,GO:0060229
disulfide oxidoreductase activity,GO:0015036
"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",GO:0016671
protein-containing complex stabilizing activity,GO:0140777
L-alanine transmembrane transporter activity,GO:0015180
"L-asparagine, sodium:proton antiporter activity",GO:0140831
L-glutamine transmembrane transporter activity,GO:0015186
"L-glutamine, sodium:proton antiporter activity",GO:0140830
L-histidine transmembrane transporter activity,GO:0005290
"L-histidine, sodium:proton antiporter activity",GO:0140832
neutral L-amino acid:sodium symporter activity,GO:0005295
enoyl-[acyl-carrier-protein] reductase (NADPH) activity,GO:0141148
deSUMOylase activity,GO:0016929
"cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase activity",GO:0047016
protein-fructosamine 3-kinase activity,GO:0102194
protein-ribulosamine 3-kinase activity,GO:0102193
G protein-coupled acetylcholine receptor activity,GO:0016907
JUN kinase binding,GO:0008432
dipeptidyl-peptidase activity,GO:0008239
serine-type exopeptidase activity,GO:0070008
3-methylbutanoyl-CoA dehydrogenase activity,GO:0008470
peptidase activator activity,GO:0016504
dynein light intermediate chain binding,GO:0051959
minus-end-directed microtubule motor activity,GO:0008569
2-oxoglutaramate amidase activity,GO:0106008
omega-amidase activity,GO:0050152
ATP transmembrane transporter activity,GO:0005347
inorganic diphosphate transmembrane transporter activity,GO:0030504
phosphate transmembrane transporter activity,GO:0005315
transcription regulator activator activity,GO:0140537
transmembrane receptor protein tyrosine kinase adaptor activity,GO:0005068
O-acyltransferase activity,GO:0008374
palmitoleoyltransferase activity,GO:1990698
4-trimethylammoniobutyraldehyde dehydrogenase activity,GO:0047105
acetaldehyde dehydrogenase (NAD+) activity,GO:0140087
aldehyde dehydrogenase (NAD+) activity,GO:0004029
aminobutyraldehyde dehydrogenase (NAD+) activity,GO:0019145
formaldehyde dehydrogenase (NAD+) activity,GO:0018467
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",GO:0016620
inositol hexakisphosphate binding,GO:0000822
RNA polymerase III type 1 promoter sequence-specific DNA binding,GO:0001002
RNA polymerase III type 2 promoter sequence-specific DNA binding,GO:0001003
RNA polymerase III type 3 promoter sequence-specific DNA binding,GO:0001006
TFIIIC-class transcription factor complex binding,GO:0001156
macrophage colony-stimulating factor receptor binding,GO:0005157
protein tyrosine kinase activator activity,GO:0030296
NADPH peroxidase activity,GO:0050137
cyclin-dependent protein serine/threonine kinase activator activity,GO:0061575
Rho GDP-dissociation inhibitor binding,GO:0051022
11-cis-retinol dehydrogenase activity,GO:0102354
aldehyde dehydrogenase (NADP+) activity,GO:0033721
all-trans-retinol dehydrogenase (NAD+) activity,GO:0004745
all-trans-retinol dehydrogenase (NADP+) activity,GO:0052650
heparan sulfate 6-sulfotransferase activity,GO:0017095
group II metabotropic glutamate receptor activity,GO:0001641
eukaryotic initiation factor eIF2 binding,GO:0071074
eukaryotic translation initiation factor 2alpha kinase activity,GO:0004694
ATP-dependent FeS chaperone activity,GO:0140663
voltage-gated chloride channel activity,GO:0005247
voltage-gated monoatomic anion channel activity,GO:0008308
fatty acid binding,GO:0005504
palmitoyl-CoA oxidase activity,GO:0016401
alpha-2A adrenergic receptor binding,GO:0031694
omega peptidase activity,GO:0008242
apelin receptor binding,GO:0031704
hedgehog receptor activity,GO:0008158
adenylate kinase activity,GO:0004017
F-box domain binding,GO:1990444
molecular function activator activity,GO:0140677
acetylcholine receptor inhibitor activity,GO:0030550
fatty-acyl-CoA binding,GO:0000062
FFAT motif binding,GO:0033149
"UDP-galactose:glucosylceramide beta-1,4-galactosyltransferase activity",GO:0008489
(R)-carnitine transmembrane transporter activity,GO:1901235
amino-acid betaine transmembrane transporter activity,GO:0015199
carnitine transmembrane transporter activity,GO:0015226
quaternary ammonium group transmembrane transporter activity,GO:0015651
sodium ion transmembrane transporter activity,GO:0015081
RNA polymerase I core promoter sequence-specific DNA binding,GO:0001164
Tat protein binding,GO:0030957
internal mRNA (guanine-N7-)-methyltransferase activity,GO:0160090
tRNA (guanine(46)-N7)-methyltransferase activity,GO:0008176
glucuronosyltransferase activity,GO:0015020
glycosyltransferase activity,GO:0016757
hexosyltransferase activity,GO:0016758
xylosyltransferase activity,GO:0042285
1-phosphatidylinositol-3-phosphate 5-kinase activity,GO:0000285
1-phosphatidylinositol-5-kinase activity,GO:0052810
wide pore channel activity,GO:0022829
calcium:proton antiporter activity,GO:0015369
FK506 binding,GO:0005528
MRF binding,GO:0043426
osmolarity-sensing monoatomic cation channel activity,GO:1990760
pH-gated monoatomic ion channel activity,GO:0160128
phosphatidylinositol bisphosphate binding,GO:1902936
CARD domain binding,GO:0050700
5-diphosphoinositol pentakisphosphate 1-kinase activity,GO:0033857
inositol hexakisphosphate 1-kinase activity,GO:0052723
inositol hexakisphosphate kinase activity,GO:0000828
"inositol-1,3,4,5,6-pentakisphosphate kinase activity",GO:0000827
sialic acid binding,GO:0033691
transporter inhibitor activity,GO:0141110
protein-glutamic acid ligase activity,GO:0070739
"protein-glutamic acid ligase activity, elongating",GO:0106438
"protein-glutamic acid ligase activity, initiating",GO:0106437
tubulin-glutamic acid ligase activity,GO:0070740
fructose 6-phosphate aldolase activity,GO:0097023
fructose-1-phosphatase activity,GO:0103026
protein carboxyl O-methyltransferase activity,GO:0051998
protein-glutamate O-methyltransferase activity,GO:0008983
S-adenosylmethionine-dependent methyltransferase activity,GO:0008757
3'-5' DNA helicase activity,GO:0043138
ryanodine-sensitive calcium-release channel activity,GO:0005219
suramin binding,GO:0043924
lipase binding,GO:0035473
histone H3K4me3 reader activity,GO:0140002
"inositol-1,3,4,5,6-pentakisphosphate 3-phosphatase activity",GO:0030351
"inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity",GO:0051717
"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity",GO:0016314
"phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity",GO:0051800
DNA endonuclease activity,GO:0004520
ornithine decarboxylase inhibitor activity,GO:0008073
misfolded RNA binding,GO:0034336
U2 snRNA binding,GO:0030620
GAF domain binding,GO:0036004
3'-5' exonuclease activity,GO:0008408
3'-flap-structured DNA binding,GO:0070337
8-hydroxy-2'-deoxyguanosine DNA binding,GO:1905773
forked DNA-dependent helicase activity,GO:0061749
four-way junction helicase activity,GO:0009378
MutLalpha complex binding,GO:0032405
telomeric D-loop binding,GO:0061821
telomeric G-quadruplex DNA binding,GO:0061849
Y-form DNA binding,GO:0000403
glutathione dehydrogenase (ascorbate) activity,GO:0045174
methylarsonate reductase activity,GO:0050610
JUN kinase kinase kinase activity,GO:0004706
cargo receptor activity,GO:0038024
ABC-type vitamin B12 transporter activity,GO:0015420
ATPase-coupled lipid transmembrane transporter activity,GO:0034040
single-stranded DNA 5'-3' DNA exonuclease activity,GO:0045145
Ac-Asp-Glu binding,GO:1904492
tetrahydrofolyl-poly(glutamate) polymer binding,GO:1904493
dihydroorotase activity,GO:0004151
dihydroorotate dehydrogenase (quinone) activity,GO:0106430
dihydroorotate dehydrogenase activity,GO:0004152
L-aspartate transmembrane transporter activity,GO:0015183
"activin receptor activity, type II",GO:0016362
guanidinoacetate N-methyltransferase activity,GO:0030731
N-acetyltransferase activity,GO:0008080
glucose-6-phosphatase activity,GO:0004346
inositol monophosphate phosphatase activity,GO:0052834
lithium ion binding,GO:0031403
ribosomal large subunit binding,GO:0043023
ATP-dependent DNA damage sensor activity,GO:0140664
neuropeptide Y receptor activity,GO:0004983
pancreatic polypeptide receptor activity,GO:0001602
peptide YY receptor activity,GO:0001601
glycosylphosphatidylinositol phospholipase D activity,GO:0004621
transcription factor binding,GO:0008134
myosin heavy chain binding,GO:0032036
myosin light chain binding,GO:0032027
low-density lipoprotein particle binding,GO:0030169
neuropeptide binding,GO:0042923
intraciliary transport particle A binding,GO:0120160
low voltage-gated calcium channel activity,GO:0008332
adenylate cyclase activity,GO:0004016
calcium- and calmodulin-responsive adenylate cyclase activity,GO:0008294
temperature-gated cation channel activity,GO:0097604
7-dehydrocholesterol reductase activity,GO:0047598
"cholesterol-5,6-oxide hydrolase activity",GO:0033963
5-hydroxy-L-tryptophan decarboxylase activity,GO:0036467
aromatic-L-amino-acid decarboxylase activity,GO:0004058
L-dopa decarboxylase activity,GO:0036468
isocitrate dehydrogenase (NADP+) activity,GO:0004450
cyclin-dependent protein serine/threonine kinase regulator activity,GO:0016538
sulfatide binding,GO:0120146
cytochrome-c oxidase activity,GO:0004129
guanine phosphoribosyltransferase activity,GO:0052657
hypoxanthine phosphoribosyltransferase activity,GO:0004422
C5L2 anaphylatoxin chemotactic receptor binding,GO:0031715
extracellular matrix structural constituent conferring tensile strength,GO:0030020
platelet-derived growth factor binding,GO:0048407
cupric ion binding,GO:1903135
glycosaminoglycan binding,GO:0005539
type 5 metabotropic glutamate receptor binding,GO:0031802
fructose-bisphosphate aldolase activity,GO:0004332
malate dehydrogenase (decarboxylating) (NADP+) activity,GO:0004473
malic enzyme activity,GO:0004470
oxaloacetate decarboxylase activity,GO:0008948
hormone binding,GO:0042562
neuropeptide hormone activity,GO:0005184
porphobilinogen synthase activity,GO:0004655
proteasome core complex binding,GO:1904854
"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor",GO:0004748
icosatetraenoic acid binding,GO:0050543
D-glucose uniporter activity,GO:0015304
insulin-responsive D-glucose:proton symporter activity,GO:0005360
complement component C1q complex binding,GO:0001849
type II transforming growth factor beta receptor binding,GO:0005114
galactose binding,GO:0005534
L-lactate dehydrogenase activity,GO:0004459
cobalamin binding,GO:0031419
methylmalonyl-CoA mutase activity,GO:0004494
modified amino acid binding,GO:0072341
D-loop DNA binding,GO:0062037
structural constituent of chromatin,GO:0030527
lysozyme activity,GO:0003796
aspartic-type peptidase activity,GO:0070001
D-amino-acid dehydrogenase activity,GO:0008718
D-amino-acid oxidase activity,GO:0003884
glycine oxidase activity,GO:0043799
(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity,GO:0019171
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,GO:0004316
3-oxoacyl-[acyl-carrier-protein] synthase activity,GO:0004315
[acyl-carrier-protein] S-acetyltransferase activity,GO:0004313
[acyl-carrier-protein] S-malonyltransferase activity,GO:0004314
fatty acid synthase activity,GO:0004312
fatty acyl-[ACP] hydrolase activity,GO:0016297
phosphopantetheine binding,GO:0031177
protein serine/threonine kinase inhibitor activity,GO:0030291
beta-N-acetylglucosaminidase activity,GO:0016231
stem cell factor receptor binding,GO:0005173
ganglioside GT1b binding,GO:1905576
opioid peptide activity,GO:0001515
serine-type endopeptidase inhibitor activity,GO:0004867
GABA-A receptor activity,GO:0004890
HMG box domain binding,GO:0071837
interleukin-2 receptor binding,GO:0005134
beta-3 adrenergic receptor binding,GO:0031699
beta-adrenergic receptor activity,GO:0004939
beta3-adrenergic receptor activity,GO:0015052
D5 dopamine receptor binding,GO:0031752
GABA-gated chloride ion channel activity,GO:0022851
3'-5'-DNA exonuclease activity,GO:0008296
class II DNA-(apurinic or apyrimidinic site) endonuclease activity,GO:0052720
DNA-(abasic site) binding,GO:0140431
double-stranded DNA exodeoxyribonuclease activity,GO:0008309
"phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands",GO:0090580
"site-specific endodeoxyribonuclease activity, specific for altered base",GO:0016890
alcohol dehydrogenase (NAD+) activity,GO:0004022
S-(hydroxymethyl)glutathione dehydrogenase (NAD+) activity,GO:0106322
S-(hydroxymethyl)glutathione dehydrogenase (NADP+) activity,GO:0106321
S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity,GO:0051903
S-nitrosoglutathione reductase (NADH) activity,GO:0080007
MHC class II protein binding,GO:0042289
proteoglycan binding,GO:0043394
substance P receptor activity,GO:0016496
complement component C5a receptor activity,GO:0004878
growth hormone-releasing hormone receptor activity,GO:0016520
GMP binding,GO:0019002
10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase activity,GO:0033885
lysophosphatidic acid phosphatase activity,GO:0052642
beta1-adrenergic receptor activity,GO:0004940
"1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding",GO:0071886
Gq/11-coupled serotonin receptor activity,GO:0001587
serotonin binding,GO:0051378
DNA clamp loader activity,GO:0003689
DNA clamp unloader activity,GO:0061860
histone H3 reader activity,GO:0140006
siRNA binding,GO:0035197
purine-rich negative regulatory element binding,GO:0032422
calcium ion sensor activity,GO:0061891
phosphothreonine residue binding,GO:0050816
glutamate receptor activity,GO:0008066
group III metabotropic glutamate receptor activity,GO:0001642
glutamate decarboxylase activity,GO:0004351
telomeric repeat-containing RNA binding,GO:0061752
acetylcholine receptor activator activity,GO:0030549
ErbB-2 class receptor binding,GO:0005176
ErbB-3 class receptor binding,GO:0043125
RAGE receptor binding,GO:0050786
arylsulfatase activity,GO:0004065
N-acetylgalactosamine-4-sulfatase activity,GO:0003943
N-acetylgalactosamine-6-sulfatase activity,GO:0043890
alpha-galactosidase activity,GO:0004557
catalytic activity,GO:0003824
thiosulfate-cyanide sulfurtransferase activity,GO:0004792
ISG15 transferase activity,GO:0042296
proton transmembrane transporter activity,GO:0015078
cholecystokinin receptor activity,GO:0004951
gastrin receptor activity,GO:0015054
type B gastrin/cholecystokinin receptor binding,GO:0031741
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",GO:0016616
"arachidonate 11,12-epoxygenase activity",GO:0008405
"arachidonate 14,15-epoxygenase activity",GO:0008404
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",GO:0016712
ErbB-4 class receptor binding,GO:1990631
protein tyrosine phosphatase activator activity,GO:0008160
small conductance calcium-activated potassium channel activity,GO:0016286
4-alpha-hydroxytetrahydrobiopterin dehydratase activity,GO:0008124
phenylalanine 4-monooxygenase activity,GO:0004505
myosin phosphatase activity,GO:0017018
myosin-light-chain-phosphatase activity,GO:0050115
NEDD8 ligase activity,GO:0061663
eukaryotic initiation factor 4G binding,GO:0031370
mRNA cap binding,GO:0098808
carbonyl reductase (NADPH) activity,GO:0004090
NADPH binding,GO:0070402
complement component C3a binding,GO:0001850
complement component C3b binding,GO:0001851
ubiquitin-protein transferase activator activity,GO:0097027
prostaglandin D receptor activity,GO:0004956
prostaglandin J receptor activity,GO:0001785
histone acetyltransferase regulator activity,GO:0035034
beta-2-microglobulin binding,GO:0030881
sphingomyelin phosphodiesterase activator activity,GO:0016230
sialate 9-O-acetylesterase activity,GO:0106330
peptidylamidoglycolate lyase activity,GO:0004598
peptidylglycine monooxygenase activity,GO:0004504
glutamate-cysteine ligase activity,GO:0004357
cell adhesive protein binding involved in AV node cell-bundle of His cell communication,GO:0086082
connexin binding,GO:0071253
calcium-independent phospholipase A2 activity,GO:0047499
serine hydrolase activity,GO:0017171
phosphatase inhibitor activity,GO:0019212
apolipoprotein binding,GO:0034185
reelin receptor activity,GO:0038025
very-low-density lipoprotein particle binding,GO:0034189
very-low-density lipoprotein particle receptor activity,GO:0030229
phosphatidate cytidylyltransferase activity,GO:0004605
glucose-6-phosphate dehydrogenase activity,GO:0004345
"3',5'-cyclic-nucleotide phosphodiesterase activity",GO:0004114
epidermal growth factor binding,GO:0048408
epidermal growth factor receptor activity,GO:0005006
melanocortin receptor activity,GO:0004977
melanocyte-stimulating hormone receptor activity,GO:0004980
alpha-catenin binding,GO:0045294
I-SMAD binding,GO:0070411
creatine kinase activity,GO:0004111
pyruvate carboxylase activity,GO:0004736
alanyl aminopeptidase activity,GO:0016285
IkappaB kinase complex binding,GO:0106137
DNA end binding,GO:0045027
molecular carrier activity,GO:0140104
methionine adenosyltransferase activity,GO:0004478
actinin binding,GO:0042805
myosin VI binding,GO:0070853
